Page_title	page_id	%revision	objective_frequency	obj_avg	well_writ_freq	well_writ_avg
September_11_attacks	5058690	491504275	32	2.906250	33	3.909091
September_11_attacks	5058690	449820598	0	0.000000	32	4.312500
Egyptian_pyramids	864667	479693922	36	3.333333	36	3.500000
Egyptian_pyramids	864667	451604483	118	3.627119	129	3.829457
Egyptian_pyramids	864667	485127396	55	2.854545	59	3.186441
Egyptian_pyramids	864667	442038931	56	3.517857	59	3.813559
Egyptian_pyramids	864667	471201144	56	3.750000	62	3.661290
Egyptian_pyramids	864667	493787279	46	3.326087	53	3.452830
Egyptian_pyramids	864667	463533117	36	3.750000	38	3.947368
Langston_Hughes	21814770	477083779	37	3.945946	42	4.071429
Langston_Hughes	21814770	490079237	0	0.000000	30	3.100000
Langston_Hughes	21814770	474548537	41	3.170732	40	3.175000
Liver_disease	865271	457387574	0	0.000000	30	4.233333
Clothing_in_India	867790	492118903	34	3.029412	37	3.459459
The_Count_of_Monte_Cristo_(2002_film)	872497	495051121	56	4.964286	56	4.964286
The_Count_of_Monte_Cristo_(2002_film)	872497	468647737	53	4.547170	53	4.547170
The_Count_of_Monte_Cristo_(2002_film)	872497	489283601	80	4.912500	80	4.912500
The_Count_of_Monte_Cristo_(2002_film)	872497	473790198	87	4.620690	87	4.528736
The_Times_Group	873090	483335757	30	1.000000	30	1.100000
The_Times_Group	873090	480747369	54	1.074074	53	1.075472
Plantar_fasciitis	873402	453622759	0	0.000000	32	4.343750
Phyllite	875354	438105370	32	3.187500	33	3.121212
Penny_stock	875943	458928213	35	3.628571	45	3.733333
List_of_H2O:_Just_Add_Water_episodes	13459986	435836681	0	0.000000	32	4.500000
List_of_H2O:_Just_Add_Water_episodes	13459986	444018085	56	3.857143	70	4.400000
George_"Gabby"_Hayes	880023	441829159	0	0.000000	31	4.612903
The_Death_Cure	33701149	487011018	51	2.823529	59	2.288136
Bella_Thorne	9271515	446302777	35	4.171429	41	4.414634
Bella_Thorne	9271515	488157200	0	0.000000	31	4.387097
Bella_Thorne	9271515	454949061	33	4.181818	42	4.261905
Bella_Thorne	9271515	452385484	32	4.281250	33	4.272727
Bella_Thorne	9271515	459461457	33	3.878788	37	4.378378
Bella_Thorne	9271515	442366927	55	3.636364	67	4.059701
Net_realizable_value	13467150	431052665	76	3.815789	99	3.787879
Watson_and_Crick	887030	438785170	30	3.033333	32	3.031250
Watson_and_Crick	887030	451387684	54	3.555556	53	3.000000
Watson_and_Crick	887030	494308296	0	0.000000	30	3.233333
Watson_and_Crick	887030	471845977	72	3.527778	71	3.140845
Watson_and_Crick	887030	484259166	0	0.000000	30	3.333333
Skittles_(confectionery)	891715	468722847	30	3.133333	0	0.000000
List_of_Top_Gear_episodes	5092756	442462214	102	4.617647	123	4.609756
List_of_Top_Gear_episodes	5092756	444288088	40	4.750000	42	4.642857
List_of_Top_Gear_episodes	5092756	458753637	32	4.843750	36	4.805556
List_of_Top_Gear_episodes	5092756	446555354	61	4.672131	70	4.700000
List_of_Top_Gear_episodes	5092756	440137495	99	4.787879	116	4.732759
List_of_Top_Gear_episodes	5092756	442047441	55	4.600000	61	4.688525
Retained_earnings	899096	427403573	37	4.054054	46	3.978261
Karl_Blossfeldt	899360	480300980	0	0.000000	33	3.303030
Karl_Blossfeldt	899360	453073597	51	3.058824	54	3.185185
Great_Wall_of_China	5094570	487349194	32	3.343750	33	3.303030
Great_Wall_of_China	5094570	491751867	31	4.290323	32	4.218750
Great_Wall_of_China	5094570	473169304	40	3.575000	47	3.446809
Great_Wall_of_China	5094570	456780134	31	3.129032	34	3.058824
Great_Wall_of_China	5094570	454783986	37	3.756757	40	3.575000
Great_Wall_of_China	5094570	483429737	50	3.900000	45	4.111111
Great_Wall_of_China	5094570	461027710	66	3.545455	71	3.633803
Charles_T._Hinde	34391225	491031631	41	5.000000	41	5.000000
Utility_software	904254	474618343	0	0.000000	32	3.187500
Audi_Cup	21878442	441775399	41	4.170732	46	3.739130
Audi_Cup	21878442	441587317	45	4.222222	45	3.466667
Audi_Cup	21878442	441559542	0	0.000000	32	3.531250
Joel_Osteen	908568	449599762	0	0.000000	32	4.218750
Sternum	30270392	479971641	34	3.117647	36	3.250000
Sternum	30270392	445310170	43	3.255814	46	2.717391
Essiac	912558	480297071	33	1.454545	0	0.000000
Essiac	912558	446071850	31	1.645161	0	0.000000
The_Top_500_Heavy_Metal_Songs_of_All_Time	9302684	445817699	31	2.806452	30	2.966667
Goodnight_Mister_Tom	914619	439513619	53	3.603774	62	4.193548
Obiter_dictum	914720	434860705	41	4.170732	45	3.666667
Manny_Pacquiao	916099	448306689	103	1.320388	0	0.000000
Pachmarhi_Biosphere_Reserve	917484	427929673	54	3.314815	61	3.786885
Boxer_(Animal_Farm)	918246	445774479	35	3.314286	36	3.333333
Drug	9311172	455065351	37	3.216216	40	3.400000
Drug	9311172	486026958	33	3.060606	35	3.371429
Drug	9311172	446729309	31	4.193548	37	4.054054
Drug	9311172	473599486	50	3.560000	51	3.588235
CSU/DSU	923209	447386559	0	0.000000	31	4.064516
Tom_Chaplin	923608	487422995	33	4.969697	33	5.000000
Cyclobenzaprine	929902	464475360	0	0.000000	32	4.125000
Cyclobenzaprine	929902	447116535	0	0.000000	34	4.382353
Tropical_rainforest	931370	454929981	45	3.488889	52	3.634615
List_of_amendments_to_the_United_States_Constitution	932529	494218627	0	0.000000	30	4.133333
Curved_mirror	5732433	444212722	35	3.914286	40	4.100000
Edward_River	9325423	443138449	34	2.264706	37	2.351351
Media_planning	16234440	466157554	0	0.000000	35	3.371429
Hispanophone	940236	470290307	34	1.000000	0	0.000000
Fartlek	944016	450060118	37	3.108108	38	3.000000
TCM_2	5142017	475774446	71	1.014085	69	1.014493
Virtual_image	953369	438096478	0	0.000000	36	3.305556
Eurobot	17636002	447465143	35	4.485714	40	4.600000
Holes_(novel)	959366	493952164	55	3.927273	59	3.966102
Holes_(novel)	959366	485226697	57	3.596491	64	3.890625
Secondary_research	9348311	457667473	73	2.986301	75	2.800000
Secondary_research	9348311	433367314	75	2.626667	76	2.578947
Secondary_research	9348311	472747636	33	3.484848	37	3.027027
Secondary_research	9348311	452406104	44	3.227273	45	2.888889
Donald_Flack,_Jr.	9348763	497782465	37	5.000000	37	4.000000
Donald_Flack,_Jr.	9348763	467810961	56	4.964286	56	4.035714
Donald_Flack,_Jr.	9348763	459351000	48	5.000000	48	4.020833
Donald_Flack,_Jr.	9348763	479916667	99	5.000000	99	4.010101
